A1,A9,A10,A12,A16,A2,A3,A8,A11,A14,A15,A4_l,A4_u,A4_y,A5_g,A5_gg,A5_p,A6_aa,A6_c,A6_cc,A6_d,A6_e,A6_ff,A6_i,A6_j,A6_k,A6_m,A6_q,A6_r,A6_w,A6_x,A7_bb,A7_dd,A7_ff,A7_h,A7_j,A7_n,A7_o,A7_v,A7_z,A13_g,A13_p,A13_s
1,1,0,0,0,-0.03991963532317444,-0.5748752541116041,1.1313123402423624,-0.57200514100758,0.6095135480744468,-0.23829421351433464,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0.7554413624961659,0.3914426116457233,-0.3485987626259325,-0.57200514100758,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1.6940246288303935,0.4007229753024564,-0.7746001595535377,-0.57200514100758,-1.284710585517228,1.2778762338690959,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,1,0,1.4791912260580626,1.43548352302819,1.4264070579057555,1.412901587617014,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,0.6045805729938182,0.023708201747676745,-0.681412353975624,2.2635758998846973,1.0466421942879103,-0.360074972340313,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,-0.19937376093641573,-0.797603981873197,-0.3663488208312494,0.27866917126010315,1.6003384794916307,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,-0.6767813226527065,0.36244147521843256,0.6143418950125082,2.2635758998846973,-0.41045329309030115,-0.2108935427784895,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,0,-0.8123650701801333,-0.9426096640096506,-0.4972555000954614,-0.57200514100758,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,0,0,-1.0663458930131997,0.991186112962096,-0.459536626409163,1.412901587617014,-0.5853047515756865,-0.360074972340313,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,-0.6767813226527065,-0.7686028454459063,-0.42181775272286465,-0.57200514100758,0.9009326455500891,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,1,0,1.6625157297571185,0.8554607944823751,2.702192491412906,1.1293434835277865,-1.284710585517228,0.4071438082633506,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,-0.27862341618131986,2.363519888701494,0.5766230213262099,-0.28844703691835233,-0.41045329309030115,-0.3533770306048842,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,1,0,1.0342473785384798,0.5074471573548862,-0.5704744901923935,0.27866917126010315,-0.22831635716802473,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,-1.3852541442396822,-0.8648866183845115,-0.1267230350594715,-0.004888932829124595,-0.5561628418281223,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,1,0,1.5909045954996748,2.015506251574005,1.4996260480026877,1.9800177957954694,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,2.585821954116425,0.9714653401915381,2.3139099681715996,0.27866917126010315,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,1,0,1.1211355547708446,-0.7593224817891732,1.4264070579057555,1.1293434835277865,2.3580281329283004,5.728962968958605,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,-0.10389224859315757,2.4308025252128083,1.4441571161110724,0.8457853794385586,-0.06075037611953042,-0.360074972340313,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,0,1.113497033783384,1.2707570681211784,2.739911365099205,1.6964596917062418,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,1,0,1.8296083763578201,0.7591770215437699,2.573504569424359,3.681366420330836,-1.284710585517228,2.684443998309146,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,0.6122190939812786,0.18843465665468814,1.4264070579057555,-0.57200514100758,-1.284710585517228,2.075540204179254,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,1,0,-0.7407539359226897,1.4934857958827714,-0.6081933638786918,0.8457853794385586,-1.284710585517228,-0.0190888476275736,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,-0.23947599612058432,-0.6525982997367433,0.09515269250698953,2.547134003973925,1.8771866220934905,-0.33876333954576676,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,-0.29485527327967387,-0.6328775269661856,0.021933702410057376,2.8306921080631526,2.962722760190258,0.07407343287429984,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,1,0,-0.7006517007385211,1.7254948873010973,-0.5704744901923935,-0.004888932829124595,0.9009326455500891,-0.024568981774742624,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,-0.2471145171080448,-0.8648866183845115,-0.681412353975624,-0.004888932829124595,0.6095135480744468,-0.055623075275367105,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,0.36587679213567276,1.1269114314418165,1.2045313303392946,2.8306921080631526,-1.284710585517228,-0.2255072338376069,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,0,-0.1354011476664326,2.479524434410657,1.5750637953752844,2.547134003973925,-1.284710585517228,1.0300523896582299,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,-0.06379001340898897,-0.6723190725073009,-0.459536626409163,-0.28844703691835233,0.4638039993366257,-0.2991845929273238,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,1,0,0.8824317739126991,2.2277945702217727,3.0350060827625978,1.1293434835277865,-0.774727164934854,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,2.290784080975757,0.5654494302094677,0.3724973519650658,2.547134003973925,-1.284710585517228,-0.18714629480742373,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,0.15104338936334188,0.034148610861501394,1.8879085712439947,0.27866917126010315,0.9810728973558908,-0.17740383410134547,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1.0657562776117548,-0.6433179360800102,0.7607798752063726,-0.57200514100758,0.28895254085124034,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,-0.6128087093827234,-0.8463258910710454,-0.7191312276619224,-0.57200514100758,-0.5561628418281223,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,0,-0.43807754179456115,-0.8846073911550693,-0.40406769451754776,-0.57200514100758,2.292458835996281,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0,-0.4142071637087466,-0.7686028454459063,-0.01578517127624098,-0.57200514100758,0.755223096812268,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,0,0.6761917072512618,-0.5273133903708473,-0.7746001595535377,-0.57200514100758,1.629480389239195,3.1715670336130595,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,0,0.4374879263931164,-0.4205892083184174,-0.7923502177588545,-0.57200514100758,0.45651852189973463,-0.23829421351433464,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,0,0.37351531312313324,-0.30458466260925443,2.4980668220517623,-0.57200514100758,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0,-0.6691428016652461,1.6964937508738065,-0.42181775272286465,-0.57200514100758,-0.11903419561465887,-0.17740383410134547,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,-0.6844198436401671,-1.000611936864232,-0.7546313440725562,-0.57200514100758,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,0,1.3359689575431755,-0.8846073911550693,1.4264070579057555,-0.57200514100758,1.0466421942879103,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,1.2328489242124567,-0.30458466260925443,1.8701585130386775,2.547134003973925,-0.7018723905659434,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,1,0,2.5218493408464417,1.8414994330102603,-0.237660898842702,0.5622272753493309,0.1723849018609834,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,0,0.12717301127752734,2.7498150259130063,0.5389041476399116,1.9800177957954694,0.5366587737055363,0.084424797374508,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,1,0,-0.6605494655543525,-0.8173247546437546,-0.1267230350594715,-0.004888932829124595,-0.7018723905659434,-0.11651345468835628,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,-0.946994002584127,-0.80688434552993,-0.08900416137317313,-0.28844703691835233,-1.284710585517228,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,0,-0.35023455043876345,-0.014573298336347037,1.111343524761381,-0.28844703691835233,-0.41045329309030115,-0.360074972340313,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,0.540607959723835,-0.7686028454459063,0.09515269250698953,2.547134003973925,-1.284710585517228,-0.08241484221708234,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,0,-0.4619479198803757,-0.91360852758236,-0.681412353975624,0.27866917126010315,0.6095135480744468,8.839243549374093,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,0,-1.0424755149273852,0.5074471573548862,-0.14447309326478838,1.412901587617014,-0.7018723905659434,1.4386268355193872,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0.1901908094240774,0.7394562487732121,-0.08900416137317313,-0.57200514100758,1.775189937977016,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1.328330436555715,-0.8846073911550693,3.977977924920057,-0.57200514100758,1.629480389239195,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,1.3837097137148044,0.6234517030640492,-0.07125410316785623,-0.57200514100758,-0.11903419561465887,-0.3588571647520532,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,-0.9231236244983124,0.22671615673871193,-0.6259434220840088,-0.28844703691835233,-0.11903419561465887,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,0.3572834560247792,0.5074471573548862,-0.7368812858672392,-0.57200514100758,1.9427559190255101,-0.360074972340313,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,1,-1.0663458930131997,-0.8648866183845115,-0.5327556165060952,-0.57200514100758,-0.11903419561465887,-0.360074972340313,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,-0.8276421121550542,-0.7303213453618824,0.31702842007345056,-0.28844703691835233,0.026675353123162264,-0.34789689645771515,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,1,-0.8438739692534083,1.2614767044644455,-0.681412353975624,-0.57200514100758,-0.26474374435248,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,1.8372468973452807,3.4075608000839606,-0.7923502177588545,-0.28844703691835233,-0.5998757064494686,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,0,0,1,-0.2547530380955053,-0.6525982997367433,0.09515269250698953,-0.57200514100758,1.3963451112586809,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,1,0.9063021519985136,-0.8846073911550693,-0.681412353975624,-0.57200514100758,0.8135069163073965,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,1,1,0.11745023308847335,-0.18858011690009147,0.5389041476399116,-0.57200514100758,0.9009326455500891,-0.360074972340313,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,-0.29485527327967387,-0.8556062547277785,-0.590443305673375,-0.57200514100758,0.1723849018609834,-0.360074972340313,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,0.6523213291654473,-0.07257557119092851,1.4264070579057555,-0.57200514100758,0.755223096812268,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,-0.44571606278202164,-0.4878718448297319,0.9826556027728336,-0.57200514100758,0.08495917261829072,-0.360074972340313,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,0.3496449350373187,0.043428974518234444,-0.3485987626259325,-0.57200514100758,0.4638039993366257,-0.360074972340313,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,1,1.7818676201861912,-0.6525982997367433,-0.7923502177588545,-0.57200514100758,-0.5561628418281223,-0.3436345698988059,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,3.0708680368201766,1.9575039787194235,1.4264070579057555,-0.57200514100758,-0.4687371125854296,-0.360074972340313,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,1,0.1033026331917128,2.59552898011982,-0.5704744901923935,-0.57200514100758,-0.41045329309030115,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,1,0.11745023308847335,0.1594335202273974,2.9795371508709825,-0.57200514100758,-1.284710585517228,-0.360074972340313,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,2.0998210562892408,-0.6815994361640341,3.4055385477985882,-0.57200514100758,0.1723849018609834,-0.2991845929273238,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,1,-0.15163300476478664,-0.6525982997367433,-0.1267230350594715,-0.57200514100758,-1.284710585517228,-0.22307161866108735,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,1,-0.1678648618631407,-0.17929975324335842,-0.5704744901923935,-0.57200514100758,-0.03889394380885725,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,1,-0.7006517007385211,-0.8556062547277785,-0.7368812858672392,-0.57200514100758,0.026675353123162264,-0.35946606854618307,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,0.11745023308847335,-0.8846073911550693,-0.42181775272286465,-0.57200514100758,1.0466421942879103,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,1,-0.7483924569101502,1.551488068737353,0.5389041476399116,-0.57200514100758,0.6677973675695753,-0.360074972340313,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,1,1,-0.1755033828506012,-0.7686028454459063,-0.3485987626259325,-0.004888932829124595,-0.06803585355642149,-0.055623075275367105,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,0.6838302282387223,-0.5945960268821618,-0.681412353975624,-0.57200514100758,-0.08989228586709465,-0.11651345468835628,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,1,0.4689968254663914,2.8275380715381457,0.9826556027728336,-0.57200514100758,-0.7018723905659434,-0.360074972340313,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,-1.1140866491848287,0.1594335202273974,-0.6259434220840088,-0.004888932829124595,-1.284710585517228,-0.3369366281633771,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,-0.5096886760520047,1.7834971601556788,0.20609055629022002,-0.004888932829124595,-0.41045329309030115,-0.35703045336966355,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,-0.23947599612058432,-0.07257557119092851,1.7592206492554472,-0.004888932829124595,-0.7382997777503987,-0.360074972340313,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,1,-0.15163300476478664,-0.7303213453618824,-0.5704744901923935,-0.57200514100758,0.755223096812268,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,1,-0.5096886760520047,1.551488068737353,1.2045313303392946,-0.57200514100758,-0.41045329309030115,-0.360074972340313,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,1,1.0103770004526653,-0.4785914811729989,3.6451643335703654,-0.57200514100758,-0.0024665566244019654,-0.360074972340313,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,1,1,-1.0109666158541102,-0.8266051183004878,-0.4395678109281815,0.8457853794385586,-0.26474374435248,-0.35703045336966355,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,-0.11153076958061806,-0.18858011690009147,0.7607798752063726,0.27866917126010315,1.1122114912199297,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,1,-0.5574294322236338,-0.7593224817891732,-0.5704744901923935,0.27866917126010315,0.026675353123162264,-0.2705661146032189,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1,0,1,1,-0.5497909112361733,1.899501705864842,-0.40406769451754776,-0.57200514100758,0.6095135480744468,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,1,1,0.32577455695150415,-0.8266051183004878,-0.3485987626259325,0.27866917126010315,0.2598106311036761,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,-0.9231236244983124,-0.7106005725913248,-0.18219196695108675,0.27866917126010315,-0.26474374435248,-0.23220517557303572,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,0,1,-0.4695864408678362,-0.7396017090186155,-0.21991084063738509,-0.004888932829124595,0.1723849018609834,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,0.7077006063245368,0.6234517030640492,4.310791516269749,1.412901587617014,0.9009326455500891,-0.35703045336966355,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
